Activity,Duration_min,HeartRate_bpm,Weight_kg,Height_cm,MET,CaloriesBurned
Yoga,47.60717060767833,104.25834429301392,68.51101857717956,155.7842993478702,2.5,127.99576973767006
Workout,5.0,107.28759020266806,53.927423763107996,181.8513350095257,6.0,28.70676328924122
Cycling,13.660888518062833,146.55293228705068,78.15721474251292,175.48510240035847,7.5,126.32835161921624
Workout,38.50293228130306,81.78174943125386,73.3276101824525,163.47012630466634,6.0,267.87786879463005
Workout,48.36413225509072,,89.1145509143035,161.00556718129275,6.0,410.6243273707746
Walking,37.96368515940861,161.4990875585397,74.37753075029326,164.68160543363263,3.5,161.69215405366563
Cycling,28.656151623746435,134.44462134572402,53.46932437320754,163.61617421389198,7.5,198.69624914235743
,32.211642450139244,133.54402588946394,71.3644287309103,149.53180334677327,7.5,275.28552674084125
Cycling,67.38881952848209,109.1590963772887,76.85626008219027,175.82667451425374,7.5,
Workout,32.319356442397186,146.8612350600917,,162.72862219755615,6.0,299.5591673052549
Yoga,74.98483244087055,138.69163116018564,55.677894225311164,183.98340376046144,2.5,182.22073446740683
Cycling,55.88034147082267,106.96236509940442,54.243947571734296,169.2181571076258,7.5,378.07157863830565
Workout,49.15074692296461,120.2130012477952,51.32435457069186,140.0,6.0,234.0177814403644
Walking,16.128061793580088,126.01661438260491,84.2567839296664,152.1837655015095,3.5,86.67024780254206
Yoga,58.70476322799254,120.17994508702033,72.47454588610447,143.53944893281738,2.5,206.8185586798678
Walking,30.124588445030014,95.92721466625062,55.14537650949547,152.05951945681102,3.5,135.87477490164218
Yoga,16.111204839886003,147.47550771459737,66.52626726508545,148.6639832581062,2.5,72.58221260060024
Workout,50.256872261587546,123.91223860245263,63.51575223918771,167.5256749038184,6.0,336.0764972544722
Running,12.241078788669206,130.38411939733274,53.329022372411806,161.83914658393724,9.8,114.82864561623124
Yoga,,115.54333531506434,65.43420732747924,172.4053991802889,2.5,46.519763372701064
Walking,39.79768177062177,141.88178684929974,67.28834345264526,164.61900417326038,3.5,154.21757368677007
Workout,84.36842848229455,134.9674046095351,88.17503713582279,162.59690931855164,6.0,739.6013687023107
Yoga,26.26168488415025,160.31960972826045,57.131749690804725,185.03206949269344,2.5,60.65158626102418
Running,30.835669613988493,142.01496782347462,44.48720810965594,167.22822633858502,9.8,
Running,54.646901088432905,124.93288995407222,52.41255517572827,164.19488482497425,9.8,482.9739133871366
Cycling,15.23408623247908,111.50707956243599,54.28823091881333,156.46559079931956,7.5,97.90165303510153
Cycling,48.856127620418306,151.64881709791612,59.87687388760526,153.2408648433037,7.5,358.5684158776969
Walking,64.11853615233176,122.93559753033855,52.441955250474294,172.70501018392102,3.5,181.82538272732455
Yoga,33.858102305777976,125.70706083509448,74.86546406982728,172.10695997834858,2.5,
Yoga,60.52308562793731,125.70070984268314,51.607606843886245,180.71578738949,2.5,160.07930752384306
